make_slug,make_name,model_name,source
chevrolet,Chevrolet,Malibu,snapshot
chevrolet,Chevrolet,Malibu Classic,snapshot
chevrolet,Chevrolet,Malibu Limited,snapshot
chevrolet,Chevrolet,Matiz,snapshot
chevrolet,Chevrolet,Metro,snapshot
chevrolet,Chevrolet,Military Truck,snapshot
chevrolet,Chevrolet,Monte Carlo,snapshot
chevrolet,Chevrolet,Motorhome Chassis,snapshot
chevrolet,Chevrolet,Nova,snapshot
chevrolet,Chevrolet,Onix,snapshot
chevrolet,Chevrolet,Optra,snapshot
chevrolet,Chevrolet,Orlando,snapshot
chevrolet,Chevrolet,P - Series,snapshot
chevrolet,Chevrolet,P6S,snapshot
chevrolet,Chevrolet,R Conventional,snapshot
chevrolet,Chevrolet,S-10 Blazer,snapshot
chevrolet,Chevrolet,S-10 Pickup,snapshot
chevrolet,Chevrolet,S6,snapshot
chevrolet,Chevrolet,S7,snapshot
chevrolet,Chevrolet,Silverado,snapshot
chevrolet,Chevrolet,Silverado HD,snapshot
chevrolet,Chevrolet,Silverado LD,snapshot
chevrolet,Chevrolet,Silverado LTD,snapshot
chevrolet,Chevrolet,Sonic,snapshot
chevrolet,Chevrolet,Spark,snapshot
chevrolet,Chevrolet,SS,snapshot
chevrolet,Chevrolet,SSR,snapshot
chevrolet,Chevrolet,Suburban,snapshot
chevrolet,Chevrolet,Suburban HD,snapshot
chevrolet,Chevrolet,Tahoe,snapshot
chevrolet,Chevrolet,Tracker,snapshot
chevrolet,Chevrolet,Trailblazer,snapshot
chevrolet,Chevrolet,Traverse,snapshot
chevrolet,Chevrolet,Traverse Limited,snapshot
chevrolet,Chevrolet,Trax,snapshot
chevrolet,Chevrolet,U100,snapshot
chevrolet,Chevrolet,Uplander,snapshot
chevrolet,Chevrolet,V Conventional,snapshot
chevrolet,Chevrolet,Venture,snapshot
chevrolet,Chevrolet,Volt,snapshot
chrysler,Chrysler,200,snapshot
chrysler,Chrysler,300,snapshot
chrysler,Chrysler,300C,snapshot
chrysler,Chrysler,Aspen,snapshot
chrysler,Chrysler,Cirrus,snapshot
chrysler,Chrysler,Concorde,snapshot
chrysler,Chrysler,Concorde/LHS,snapshot
chrysler,Chrysler,Conquest,snapshot
chrysler,Chrysler,Cordoba,snapshot
chrysler,Chrysler,Crossfire,snapshot
chrysler,Chrysler,Daytona,snapshot
chrysler,Chrysler,Dynasty,snapshot
chrysler,Chrysler,E-CLASS,snapshot
chrysler,Chrysler,EXECUTIVE,snapshot
chrysler,Chrysler,FIFTH AVENUE,snapshot
chrysler,Chrysler,Grand Caravan,snapshot
chrysler,Chrysler,Grand Voyager,snapshot
chrysler,Chrysler,Imperial,snapshot
chrysler,Chrysler,Intrepid,snapshot
chrysler,Chrysler,Laser,snapshot
chrysler,Chrysler,LeBaron,snapshot
chrysler,Chrysler,LHS,snapshot
chrysler,Chrysler,Neon,snapshot
chrysler,Chrysler,New Yorker,snapshot
chrysler,Chrysler,NEWPORT,snapshot
chrysler,Chrysler,Pacifica,snapshot
chrysler,Chrysler,Prowler,snapshot
chrysler,Chrysler,PT Cruiser,snapshot
chrysler,Chrysler,SALON,snapshot
chrysler,Chrysler,Sebring,snapshot
chrysler,Chrysler,Shadow,snapshot
chrysler,Chrysler,Stratus,snapshot
chrysler,Chrysler,TC,snapshot
chrysler,Chrysler,Town and Country,snapshot
chrysler,Chrysler,Viper,snapshot
chrysler,Chrysler,Vision,snapshot
chrysler,Chrysler,Voyager,snapshot
daewoo,Daewoo,G2X,snapshot
daewoo,Daewoo,Laganza V-car,snapshot
daewoo,Daewoo,LANOS,snapshot
daewoo,Daewoo,LEGANZA,snapshot
daewoo,Daewoo,Leganza V-200 & variants/derivatives,snapshot
daewoo,Daewoo,NUBIRA,snapshot
daihatsu,Daihatsu,Charade,snapshot
daihatsu,Daihatsu,Rocky,snapshot
daimler,Daimler,DS,snapshot
daimler,Daimler,DT,snapshot
datsun,Datsun,210,snapshot
datsun,Datsun,280ZX,snapshot
datsun,Datsun,310,snapshot
datsun,Datsun,510,snapshot
delorean,Delorean,DMC-12,snapshot
dodge,Dodge,400,snapshot
dodge,Dodge,600,snapshot
dodge,Dodge,ARIES,snapshot
dodge,Dodge,Avenger,snapshot
dodge,Dodge,Caliber,snapshot
dodge,Dodge,Caravan,snapshot
